21
0, 20.0, 15.5, 0.5, 1, 1 
1, 20.0, -15.5, 0.5, 1, 0
2, -20.0, -30.0, 0.5, 1, 3
3, -10.0, -30.0, 0.5, 1, 2
4, -20,-20.0, 0.5, 1, 5
5, -10, -20.0, 0.5, 1, 4
6, -20,-30.0, 0.5, 1, 7
7, -10, -30.0, 0.5, 1, 6
8, -2.0, 0, 0.25, 1, 9
9, 30.0, 0, 0.25, 1, 8
10, -2.0, 0, 0.25, 1, 9
11, 30.0,0, 0.25, 1, 8
12, -2.0, 0, 0.25, 1, 9
13, -30.0, 0, 0.25, 1, 8
14, -30.0, 0, 0.25, 1, 8
15, 20.0,-15.5, 0.5, 1, 1 
16, 20.0, 15.5, 0.5, 1, 0
17, 30.0, 0.0, 0.5, 1, 1
18, 1.0, 0.0, 0.5, 1, 0
19, -20.0, -30.0, 0.5, 1, 20
20, -10.0, -30.0, 0.5, 1, 19








